Ashley,,,,,,,,
3/12/20,,,,,,,,
6:00:00-6:31:00,,,,,,,,
Pickup,,,,,,,,
Arrival,Depart,,,,,,,
6:03:06,6:04:57,,,,,,,
6:09:40,6:10:13,,,,,,,
6:12:28,6:13:37,,,,,,,
6:16:05,6:19:17,,,,,,,
6:19:17,6:21:25,,,,,,,
6:21:25,6:22:45,,,,,,,
6:22:45,6:23:28,,,,,,,
6:23:28,6:23:30,,,,,,,
6:24:30,6:26:11,,,,,,,
6:26:11,6:26:30,,,,,,,
6:26:30,6:27:40,,,,,,,
6:27:40,6:29:01,,,,,,,
6:29:01,6:29:38,,,,,,,
6:29:38,6:30:03,,,,,,,
6:30:03,6:30:41,,,,,,,
