"Ashley	",
"3/12/20	",
"6:00:00-6:31:00	",
"Order	",
Arrival,Depart
6:00:00,6:02:20
6:06:34,6:07:27
6:11:25,6:11:52
6:14:40,6:15:20
6:15:20,6:16:21
6:18:20,6:19:04
6:19:04,6:19:32
6:19:32,6:20:06
6:20:06,6:21:41
6:21:41,6:22:45
6:22:45,6:23:28
6:23:28,6:24:02
6:24:30,6:25:20
6:25:20,6:26:11
6:26:11,6:27:30
