Ashley,,,,,,,,
3/12/20,,,,,,,,
6:00:00-6:31:00,,,,,,,,
Arrival,,,,,,,,
Arrival,,,,,,,,
6:00:00,,,,,,,,
6:06:25,,,,,,,,
6:11:25,,,,,,,,
6:14:40,,,,,,,,
6:14:54,,,,,,,,
6:18:20,,,,,,,,
6:18:33,,,,,,,,
6:18:33,,,,,,,,
6:19:32,,,,,,,,
6:20:37,,,,,,,,
6:21:07,,,,,,,,
6:21:41,,,,,,,,
6:23:20,,,,,,,,
6:24:50,,,,,,,,
6:25:50,,,,,,,,
